name,born,died,geography,picture,wikipedia_url,non_person
Rabindranath Tagore,1861,1941,India,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Rabindranath_Tagore_unknown_location.jpg/220px-Rabindranath_Tagore_unknown_location.jpg,https://en.wikipedia.org/wiki/Rabindranath_Tagore
Albert Einstein,1879,1955,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/220px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg,https://en.wikipedia.org/wiki/Albert_Einstein
Ishwar Chandra Vidyasagar,1820,1891,India,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Ishwar_Chandra_Vidyasagar.jpg/220px-Ishwar_Chandra_Vidyasagar.jpg,https://en.wikipedia.org/wiki/Ishwar_Chandra_Vidyasagar
Swami Vivekananda,1863,1902,India,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Swami_Vivekananda-1893-09-signed.jpg/220px-Swami_Vivekananda-1893-09-signed.jpg,https://en.wikipedia.org/wiki/Swami_Vivekananda
Manna Dey,1919,,India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Manna-dey.jpg/230px-Manna-dey.jpg,https://en.wikipedia.org/wiki/Manna_Dey
Sukumar Ray,1887,1923,India,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Sukumar_Ray.jpg/240px-Sukumar_Ray.jpg,https://en.wikipedia.org/wiki/Sukumar_Ray
Jesus Christ,-5,30,Israel,https://www.biographyonline.net/images/150/jesus-christ.jpg,https://en.wikipedia.org/wiki/Jesus
Paul the Apostle,5,67,Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Bartolomeo_Montagna_-_Saint_Paul_-_Google_Art_Project.jpg/220px-Bartolomeo_Montagna_-_Saint_Paul_-_Google_Art_Project.jpg,https://en.wikipedia.org/wiki/Paul_the_Apostle
Constantine the Great,272,337,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Rome-Capitole-StatueConstantin.jpg/220px-Rome-Capitole-StatueConstantin.jpg,https://en.wikipedia.org/wiki/Constantine_the_Great
Muhammad,570,632,Saudi Arabia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Dark_vignette_Al-Masjid_AL-Nabawi_Door800x600x300.jpg/220px-Dark_vignette_Al-Masjid_AL-Nabawi_Door800x600x300.jpg,https://en.wikipedia.org/wiki/Muhammad
Charlemagne,742,814,Italy,https://www.biographyonline.net/images/150/Charlemagne.jpg,https://en.wikipedia.org/wiki/Charlemagne
Genghis Khan,1162,1227,Mongolia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Genghis_khan.jpg/220px-Genghis_khan.jpg,https://en.wikipedia.org/wiki/Genghis_Khan
Saladin,1138,1193,Iraq,https://www.biographyonline.net/images/150/saladin1.jpg,https://en.wikipedia.org/wiki/Saladin
Marco Polo,1254,1324,Italy,https://www.biographyonline.net/images/150/marco-polo.jpg,https://en.wikipedia.org/wiki/Marco_Polo
Johannes Gutenberg,1395,1468,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Gutenberg.jpg/220px-Gutenberg.jpg,https://en.wikipedia.org/wiki/Johannes_Gutenberg
